院校代码,院校名称,专业代码,专业名称,学制,省,城市,本专科,计划数,选考科目要求,收费标准,备注
0001,浙江大学,006,新闻传播学类,4,浙江,杭州,本科,78,不提科目要求,5300,含新闻学、传播学专业。
0001,浙江大学,008,社会科学试验班(竺可桢学院人文社科实验班、智能财务班),4,浙江,杭州,本科,2,不提科目要求,5300,含新闻学、传播学、英语、翻译、德语、法语、西班牙语、日语、俄语、经济学、财政学、金融学、国际经济与贸易、教育学、信息资源管理、会计学、工商管理、社会学、农林经济管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学专业。
0001,浙江大学,009,外国语言文学类,4,浙江,杭州,本科,54,不提科目要求,5300,含英语、翻译、德语、法语、西班牙语、日语、俄语专业。
0001,浙江大学,010,人文科学试验班,4,浙江,杭州,本科,92,"历史,地理(2门科目考生选考其中一门即可报考)",5300,含古典文献学、汉语言文学、哲学、历史学、文物与博物馆学专业。
0001,浙江大学,011,社会科学试验班,4,浙江,杭州,本科,246,不提科目要求,5300,含经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、信息资源管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),002,健行学院实验班,4,浙江,杭州,本科,40,不提科目要求,6000,要求高考投档成绩高出一段线50分(含)以上；二年级起，根据学生意愿在全校范围内(艺术类等专业除外)自主选择专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),018,工商管理类,4,浙江,杭州,本科,112,"物理,化学,历史(3门科目考生选考其中一门即可报考)",5300,含工商管理、财务管理专业。可参加学校与麦考瑞大学“2+2”学分互认项目。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),020,经济与贸易类,4,浙江,杭州,本科,114,"物理,化学,历史(3门科目考生选考其中一门即可报考)",5300,含金融学、国际经济与贸易专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),022,外国语言文学类,4,浙江,杭州,本科,170,不提科目要求,5300,含英语、日语专业。要求高考英语成绩不低于110分。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),023,汉语言文学,4,浙江,杭州,本科,67,"思想政治,历史,地理(3门科目考生选考其中一门即可报考)",5300,
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),024,新闻传播学类,4,浙江,杭州,本科,74,"思想政治,历史,地理(3门科目考生选考其中一门即可报考)",5300,含广播电视学、广告学专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),025,建筑类,5,浙江,杭州,本科,92,"物理,地理(2门科目考生选考其中一门即可报考)",6900,含建筑学、城乡规划专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),027,法学类,4,浙江,杭州,本科,87,"思想政治,历史(2门科目考生选考其中一门即可报考)",5300,含法学、知识产权专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),028,公共管理类,4,浙江,杭州,本科,65,不提科目要求,5300,含公共事业管理、行政管理专业。
0004,浙江师范大学(省重点建设高校),001,文科试验班类(师范),4,浙江,金华,本科,26,不提科目要求,5300,含小学教育(师范)、汉语言文学(师范)、汉语国际教育(师范)专业。要求高考外语成绩不低于120分。
0004,浙江师范大学(省重点建设高校),004,工商管理类,4,浙江,金华,本科,138,不提科目要求,5300,含财务管理、电子商务、会计学、工商管理、旅游管理专业。
0004,浙江师范大学(省重点建设高校),005,经济与贸易类,4,浙江,金华,本科,76,不提科目要求,5300,含金融学、国际经济与贸易专业。
0004,浙江师范大学(省重点建设高校),006,法学类,4,浙江,金华,本科,97,"思想政治,历史,技术(3门科目考生选考其中一门即可报考)",5300,含社会工作、行政管理、法学专业。
0004,浙江师范大学(省重点建设高校),007,思想政治教育(师范),4,浙江,金华,本科,29,思想政治(1门科目考生必须选考方可报考),5300,
0004,浙江师范大学(省重点建设高校),008,小学教育(师范),4,浙江,金华,本科,36,不提科目要求,6095,
0004,浙江师范大学(省重点建设高校),010,应用心理学(师范),4,浙江,金华,本科,35,"物理,生物,思想政治(3门科目考生选考其中一门即可报考)",5300,
0004,浙江师范大学(省重点建设高校),011,学前教育(师范),4,浙江,金华,本科,94,不提科目要求,6095,杭州校区。
0004,浙江师范大学(省重点建设高校),013,汉语言文学(师范),4,浙江,金华,本科,76,不提科目要求,6095,
0004,浙江师范大学(省重点建设高校),014,历史学(师范),4,浙江,金华,本科,27,历史(1门科目考生必须选考方可报考),5300,
0004,浙江师范大学(省重点建设高校),015,外国语言文学类,4,浙江,金华,本科,159,不提科目要求,5300,含英语(师范)、翻译、日语专业。要求高考外语成绩不低于120分。
0004,浙江师范大学(省重点建设高校),016,法语,4,浙江,金华,本科,20,不提科目要求,5300,要求高考外语成绩不低于115分。
