院校代码,院校名称,专业代码,专业名称,学制,省,城市,本专科,计划数,选考科目要求,收费标准,备注
0001,浙江大学,006,新闻传播学类,4,浙江,杭州,本科,78,不提科目要求,5300,含新闻学、传播学专业。
0001,浙江大学,007,理科试验班类,4,浙江,杭州,本科,100,物理(1门科目考生必须选考方可报考),5300,含数学与应用数学、信息与计算科学、统计学、心理学、信息管理与信息系统专业。
0001,浙江大学,008,社会科学试验班(竺可桢学院人文社科实验班、智能财务班),4,浙江,杭州,本科,2,不提科目要求,5300,含新闻学、传播学、英语、翻译、德语、法语、西班牙语、日语、俄语、经济学、财政学、金融学、国际经济与贸易、教育学、信息资源管理、会计学、工商管理、社会学、农林经济管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学专业。
0001,浙江大学,009,外国语言文学类,4,浙江,杭州,本科,54,不提科目要求,5300,含英语、翻译、德语、法语、西班牙语、日语、俄语专业。
0001,浙江大学,011,社会科学试验班,4,浙江,杭州,本科,246,不提科目要求,5300,含经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、信息资源管理、政治学与行政学、行政管理、劳动与社会保障、土地资源管理、法学专业。
0001,浙江大学,012,工科试验班(能源、化工与高分子),4,浙江,杭州,本科,210,物理(1门科目考生必须选考方可报考),6000,含车辆工程、能源与环境系统工程、化学工程与工艺、生物工程、高分子材料与工程专业。
0001,浙江大学,013,理科试验班(生命、环境、化学与地学),4,浙江,杭州,本科,50,"物理,化学(2门科目考生均须选考方可报考)",5300,含生物科学、生态学、环境工程、环境科学、化学、大气科学、地理信息科学、地质学专业。
0001,浙江大学,014,工科试验班(电气与自动化),4,浙江,杭州,本科,119,物理(1门科目考生必须选考方可报考),6900,含电气工程及其自动化、电子信息工程专业。
0001,浙江大学,015,工科试验班(航空航天与过程装备),4,浙江,杭州,本科,47,物理(1门科目考生必须选考方可报考),6000,含工程力学、飞行器设计与工程、过程装备与控制工程专业。
0001,浙江大学,016,工科试验班(建筑与土木),5,浙江,杭州,本科,179,物理(1门科目考生必须选考方可报考),6000,含建筑学、城乡规划、土木、水利与交通工程专业。
0001,浙江大学,017,工科试验班(机械与材料),4,浙江,杭州,本科,179,物理(1门科目考生必须选考方可报考),6000,含机械工程、材料科学与工程专业。
0001,浙江大学,018,工科试验班(信息),4,浙江,杭州,本科,221,物理(1门科目考生必须选考方可报考),6000,含计算机科学与技术、信息安全、软件工程、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、生物医学工程专业。
0001,浙江大学,019,医学试验班,八年医,浙江,杭州,本科,17,"物理,化学(2门科目考生均须选考方可报考)",6900,含临床医学专业。
0001,浙江大学,020,工科试验班(竺可桢学院图灵班),4,浙江,杭州,本科,3,物理(1门科目考生必须选考方可报考),6900,含计算机科学与技术、信息安全、人工智能专业。
0001,浙江大学,021,科技与创意设计试验班,4,浙江,杭州,本科,41,物理(1门科目考生必须选考方可报考),6900,含工业设计专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),002,健行学院实验班,4,浙江,杭州,本科,40,不提科目要求,6000,要求高考投档成绩高出一段线50分(含)以上；二年级起，根据学生意愿在全校范围内(艺术类等专业除外)自主选择专业。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),003,化工与制药类(化学工程类),4,浙江,杭州,本科,153,"物理,化学(2门科目考生选考其中一门即可报考)",6000,含化学工程与工艺、能源化学工程、应用化学、海洋技术(海洋资源工程与环境保护)专业。第一学年在屏峰校区就读，第二学年起在莫干山校区就读。可参加学校与昆士兰大学“2+2”学分互认项目。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),004,安全工程,4,浙江,杭州,本科,9,物理(1门科目考生必须选考方可报考),6000,第一学年在屏峰校区就读，第二学年起在莫干山校区就读。
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),005,生物工程类,4,浙江,杭州,本科,61,"物理,化学,生物(3门科目考生选考其中一门即可报考)",6000,含生物工程、生物技术专业。第一学年在屏峰校区就读，第二学年起在莫干山校区就读。
